6,3016000000005,232729,Agenda,APAGADOR PARA QUADRO MAGNETICO,"APAGADOR PARA QUADRO, MATERIAL BASE FELTRO, MATERIAL CORPO PLÁSTICO, COMPRIMENTO 15, LARGURA 6, ALTURA 5",UNIDADE,3016 - MATERIAL DE EXPEDIENTE,"R$ 2,40",0,"R$ 0,00"
7,3016000000087,336564,Agenda,BANDEJA DOCUMENTOS/CAIXA CORRESPONDENCIA TRIPLA,"CAIXA CORRESPONDÊNCIA (BANDEJA DOCUMENTOS), MATERIAL ACRÍLICO, COR FUMÊ, TIPO TRIPLA, COMPRIMENTO 370, LARGURA 260, ALTURA 50, CARACTERÍSTICAS ADICIONAIS ARTICULAÇÃO EM ACRÍLICO.",UNIDADE,3016 - MATERIAL DE EXPEDIENTE,"R$ 59,00",0,"R$ 0,00"
8,3016000000498,203586,Agenda,BLOCO RECADO 76X76 G90,"PAPEL RECADO AUTO-ADESIVO, MATERIAL CELULOSE VEGETAL ACRÍLICA COM ADESIVO, GRAMATURA 90, COMPRIMENTO 76, LARGURA 76  BLOCO 100 FOLHAS",BLOCO,3016 - MATERIAL DE EXPEDIENTE,"R$ 2,20",0,"R$ 0,00"
376,3016000000116,380622,Específico,CADERNO CAPA DURA 1/4 COSTURADO 96 FOLHAS,"CADERNO CAPA DURA, 1/4, 96 FOLHAS PAUTADAS, FORMATO 210 X 148 MM, COSTURADO.",UNIDADE,3016 - MATERIAL DE EXPEDIENTE,"R$ 10,00",0,"R$ 0,00"
9,3016000000026,68500,Agenda,CADERNO ESPIRAL CAPA DURA 96 FLS 20X27 CM (GRANDE),"CADERNO ESPIRAL CAPA DURA, DIMENSÕES: 20 X 27,5 CM, QUANTIDADE DE FOLHAS: 96 A 120.",UNIDADE,3016 - MATERIAL DE EXPEDIENTE,"R$ 4,34",0,"R$ 0,00"
10,3016000000007,231563,Agenda,CAIXA ARQUIVO DE PAPELAO,"Caixa para arquivo morto, material papelão, Dimensões: 360 x 250 x 130 mm.",UNIDADE,3016 - MATERIAL DE EXPEDIENTE,"R$ 5,90",0,"R$ 0,00"
11,3016000000517,231563,Agenda,CAIXA ARQUIVO PAPELÃO 30 X 27 X 10 CM AZUL,"CAIXA ARQUIVO, MATERIAL PAPELÃO REVESTIDO COM PVC, DIMENSÕES 30 X 27 X 10, COR AZUL, ESPESSURA 2, CARACTERÍSTICAS ADICIONAIS COM CORTE DE 10 CM, TIPO L NA LATERAL, APLICAÇÃO ARMAZENAMENTO DE PROCESSOS, ACABAMENTO SUPERFICIAL PVC, COMPRIMENTO 27, LARGURA 10, ALTURA 30",UNIDADE,3016 - MATERIAL DE EXPEDIENTE,"R$ 12,74",0,"R$ 0,00"
12,3016000000231,396355,Agenda,CAIXA TIPO ORGANIZADORA,"CAIXA, MATERIAL PAPELÃO MICROONDULADO PLASTIFICADO, TIPO CAIXA ORGANIZADORA, COMPRIMENTO 500, LARGURA 360, ALTURA 210, CARACTERÍSTICAS ADICIONAIS COM TAMPA, PUXADORES PLÁSTICOS",UNIDADE,3016 - MATERIAL DE EXPEDIENTE,"R$ 3,00",0,"R$ 0,00"
13,3016000000110,348773,Agenda,CANETA - INDICADOR,"CANETA - INDICADOR, MATERIAL PLÁSTICO, TIPO INDICADOR LASER, APLICAÇÃO DIDÁTICA E ACADÊMICA, CARACTERÍSTICAS ADICIONAIS 2 PILHAS ALCALINAS AAA, 1,5V, ALCANCE 50 METROS",UNIDADE,3016 - MATERIAL DE EXPEDIENTE,"R$ 139,15",0,"R$ 0,00"
14,3016000000021,271022,Agenda,CANETA ESFEROGRAFICA AZUL ESCRITA GROSSA,"Caneta esferográfica, material plástico, quantidade cargas 1, material ponta latão com esfera de tungstênio, tipo escrita grossa, cor tinta azul, características adicionais material transparente e com orifício lateral",UNIDADE,3016 - MATERIAL DE EXPEDIENTE,"R$ 0,45",0,"R$ 0,00"
15,3016000000013,271023,Agenda,CANETA ESFEROGRAFICA PRETA ESCRITA GROSSA,"Caneta esferográfica, material plástico, quantidade cargas 1, material ponta latão com esfera de tungstênio, tipo escrita grossa, cor tinta preta, características adicionais material transparente e com orifício lateral",UNIDADE,3016 - MATERIAL DE EXPEDIENTE,"R$ 0,45",0,"R$ 0,00"
16,3021000000001,226343,Agenda,COPO DESCARTAVEL 180 ML,"Copo descartável, material poliestireno, capacidade 180, aplicação água/suco e refrigerante. Quantidade 100",PACOTE,3021 - MATERIAL DE COPA E COZINHA,"R$ 2,20",3,"R$ 6,60"
17,3021000000002,226342,Agenda,COPO DESCARTAVEL 50 ML,"Copo descartável, material poliestireno, capacidade 50, aplicação café. Quantidade 100.",PACOTE,3021 - MATERIAL DE COPA E COZINHA,"R$ 0,98",0,"R$ 0,00"
18,3021000000004,237590,Agenda,FILTRO DE PAPEL PARA CAFÉ 103,"COADOR DESCARTÁVEL CAFÉ, MATERIAL PAPEL, TAMANHO 103",CAIXA,3021 - MATERIAL DE COPA E COZINHA,"R$ 1,50",0,"R$ 0,00"
19,3021000000015,304403,Agenda,GUARDANAPO DE PAPEL,"GUARDANAPO DE PAPEL, MATERIAL CELULOSE, LARGURA 20, COMPRIMENTO 20, COR BRANCA - PACOTE COM 50 UND.",PACOTE,3021 - MATERIAL DE COPA E COZINHA,"R$ 2,00",2,"R$ 4,00"
20,3021000000028,355015,Agenda,TALHER DESCARTAVEL TIPO MEXEDOR DE CAFEZINHO,"TALHER DESCARTÁVEL, MATERIAL PLÁSTICO, TIPO MEXEDOR DE CAFEZINHO, COR CRISTAL, CARACTERÍSTICAS ADICIONAIS RESISTENTE, COMPRIMENTO 9, PACOTE 500 UND.",PACOTE,3021 - MATERIAL DE COPA E COZINHA,"R$ 12,50",0,"R$ 0,00"
21,3026000000026,241539,Agenda,PILHA ALCALINA AA,"PILHA, TAMANHO PEQUENA, TIPO ALCALINA, MODELO AA, TENSÃO 1,5 V, CARACTERÍSTICAS ADICIONAIS NÃO RECARREGÁVEL. EMBALAGEM 2,00 UNIDADES",PACOTE,3026 - MATERIAL ELETRICO E ELETRONICO,"R$ 4,90",15,"R$ 73,50"
22,3026000000032,419860,Agenda,PILHA ALCALINA AAA,"PILHA, TAMANHO PALITO, MODELO AAA, CARACTERÍSTICAS ADICIONAIS NÃO RECARREGÁVEL , SISTEMA ELETROQUÍMICO ALCALINA, TENSÃO NOMINAL 1,5 V. EMBALAGEM COM 2 UNIDADES",PACOTE,3026 - MATERIAL ELETRICO E ELETRONICO,"R$ 2,23",15,"R$ 33,45"
23,3026000000034,292976,Agenda,EXTENSAO ELETRICA 10 METROS,"EXTENSÃO ELÉTRICA, COMPRIMENTO 10, TENSÃO 250, COMPONENTES PLUGUE COMPATÍVEL COM PINOS CHATO, CILÍND",UNIDADE,3026 - MATERIAL ELETRICO E ELETRONICO,"R$ 20,00",10,"R$ 200,00"
24,3028000000013,331551,Agenda,MOUSE PAD COM GEL,"MOUSE PAD, MATERIAL ELASTÔMERO E GELATINA DE SILICONE, ACABAMENTO SUPERFICIAL TECIDO,  CARACTERÍSTICAS ADICIONAIS BASE BORRACHA ESTÁTICA, MANTA PARA ROLAGEM DO MOUSE: PROFUNDIDADE:160  MM  LARGURA: 200  MM ALTURA: 4 MM.  APOIO PARA PUNHO: PROFUNDIDADE: 60 MM, LARGURA: 130 MM, ALTURA: 30 MM. CARACATERÍSTICA - ROBUSTO, MACIO E EM GEL SUPERFICIE E A PARTE ABAULADA TODA REVESTIDA EM TECIDO MACIO SEM QUALQUER EMENDA COR: PRETA. APLICAÇÃO USO DE MOUSE COM PREVENÇÃO A LER",UNIDADE,3028 - MATERIAL DE PROTECAO E SEGURANCA,"R$ 29,00",0,"R$ 0,00"
25,5241000000038,469791,Agenda,DESKTOP ULTRACOMPACTO TIPO - I - BÁSICO,Especificação no TR da Central de Compras,UNIDADE,5241 - EQUIPAMENTOS DE TIC - COMPUTADORES,"R$ 4.102,07",0,"R$ 0,00"
26,5241000000038,469791,Agenda,DESKTOP ULTRACOMPACTO TIPO - I - BÁSICO,Especificação no TR da Central de Compras,UNIDADE,5241 - EQUIPAMENTOS DE TIC - COMPUTADORES,"R$ 4.102,07",0,"R$ 0,00"
27,5208000000632,150443,Agenda,BANCADA DE AÇO,"BANCADA DE AÇO, COM TAMPO DUPLO EM MADEIRA COMPENSADO NAVAL SELADO E ENVERNIZADO (40 MM NA PARTE SUPERIOR E 20 MM NA PARTE INFERIOR), COMPRIMENTO 2 M, LARGURA 60 CM. COM DUAS GAVETAS.",UNIDADE,"5208 - APARELHOS, EQUIP. E UTENS. MED., ODONT., LABOR. E HOSP.","R$ 922,59",0,"R$ 0,00"
377,3042000000020,244867,Específico,ALICATE BICO,"ALICATE BICO, MATERIAL AÇO CROMO VANÁDIO, TIPO FINO E CURVO, TIPO CABO ISOLADO, COMPRIMENTO 150, APLICAÇÃO MANUTENÇÃO EQUIPAMENTOS ELETRÔNICOS",UNIDADE,3042 - FERRAMENTAS,"R$ 17,00",0,"R$ 0,00"
378,3042000000021,240742,Específico,ALICATE DE CORTE,"ALICATE DE CORTE, MATERIAL FORJADO EM AÇO CROMO VANÁDIO, TIPO CORTE DIAGONAL, MATERIAL CABO PLÁSTICO, TIPO CABO ISOLADO, USO INDUSTRIAL, TIPO PROFISSIONAL, COMPRIMENTO 120",UNIDADE,3042 - FERRAMENTAS,"R$ 19,00",0,"R$ 0,00"
379,3042000000038,68934,Específico,ALICATE DESENCAPADOR DE FIOS,"Alicate desencapador de fios, Material Aço Para fios entre 10 e 24 AWG  Corpo construído em aço carbono com grande durabilidade e sistema de antiferrugem. Lâminas fabricadas em aço sinterizado que garantem maior resistência com dureza entre 52 - 57 HRC. Cabos com dupla injeção.",UNIDADE,3042 - FERRAMENTAS,"R$ 130,00",0,"R$ 0,00"
380,3042000000003,215464,Específico,ALICATE UNIVERSAL,"ALICATE UNIVERSAL, MATERIAL FORJADO EM AÇO CROMO VANÁDIO, TIPO PROFISSIONAL, MATERIAL CABO PLÁSTICO, TIPO CABO ISOLADO, TIPO CORTE CORTE TEMPERADO POR INDUÇÃO, COMPRIMENTO 215, PESO 400",UNIDADE,3042 - FERRAMENTAS,"R$ 15,00",0,"R$ 0,00"
29,3922000000023,14591,Agenda,"CONTRATAÇÃO ARTÍSTICA MUSICAL - VOZ, VIOLÃO E PERCUSSÃO","APRESENTAÇÃO ARTÍSTICA MUSICAL, VOZ E VIOLÃO E PERCUSSÃO, ESTILO: MPB, COM DURAÇÃO DE 04 HORAS CADA APRESENTAÇÃO. CONFORME AS DATAS COMEMORATIVAS , CONFORME TERMO DE REFERÊNCIA. DETALHAMENTO DO SERVIÇO: COM CANTOR/A, ACOMPANHADO DA APARELHAGEM NECESSÁRIA À APRESENTAÇÃO, COMO: MICROFONES, PEDESTAIS, INSTRUMENTOS MUSICAIS NECESSÁRIOS À APRESENTAÇÃO COMO: VIOLÃO, CAJON, ATABAQUE, ETC. CAIXAS DE SOM, CAIXA DE RETORNO, ENTRE OUTROS QUE SE FIZEREM NECESSÁRIO. JÁ INCLUSO OS ENCARGOS COM TRANSPORTE, MONTAGEM E DESMONTAGEM DE TODO O MATERIAL. A APRESENTAÇÃO TERÁ NO MÍNIMO 04 (QUATRO) HORAS POR EVENTO. ESTILO: MPB.",EVENTO,"3922 - EXPOSICOES, CONGRESSOS E CONFERENCIAS","R$ 2.000,00",0,"R$ 0,00"
30,3922000000002,14591,Agenda,CONTRATAÇÃO DE TECNICO DE OPERAÇÃO AUDIO E VIDEO,"TÉCNICO DE OPERAÇÃO DE ÁUDIO E VÍDEO; O SERVIÇO DEVE SER EXECUTADO POR PROFISSIONAL DINÂMICO E COM EXPERIÊNCIA COMPROVADA NA ATIVIDADE DE OPERAÇÃO DE EQUIPAMENTOS DE SOM, CAPACITADO PARA REALIZAR A INSTALAÇÃO E DESINSTALAÇÃO DE APARELHOS DE SOM E DEMAIS EQUIPAMENTOS ELETROELETRÔNICOS A SEREM UTILIZADOS EM EVENTOS; QUANTIDADE  DE 8 HORAS POR EVENTO.",EVENTO,"3922 - EXPOSICOES, CONGRESSOS E CONFERENCIAS","R$ 320,12",0,"R$ 0,00"
31,3922000000042,14591,Agenda,LOCAÇÃO DE TENDAS  4MX4M,"LOCAÇÃO DE TENDA, CONSTRUÍDA EM LONA PVC ANTI CHAMAS COM PROTEÇÃO UV, COM CALHAS E POSSIBILIDADE DE FECHAMENTO LATERAIS COM MATERIAL SIMILAR AO DA COBERTURA. ESTRUTURA METÁLICA DE 1.1/2 P-18. DIMENSÕES: 4MX4M, COM PÉ DIREITO DE APROXIMADAMENTE DE 3 METROS E ALTURA CENTRAL APROXIMADAMENTE DE 4,5 METROS. POSSIBILIDADE DE JUNÇÃO DE 2 TENDAS OU MAIS. A MONTAGEM DEVERÁ SER FINALIZADA EM ATÉ 03 (TRÊS) HORAS ANTES DO INÍCIO DO EVENTO, UNIDADE DIÁRIA. MONTAGEM E DESMONTAGEM POR CONTA DA CONTRATADA.",UNIDADE/DIÁRIA,"3922 - EXPOSICOES, CONGRESSOS E CONFERENCIAS","R$ 540,00",0,"R$ 0,00"
32,3922000000043,14591,Agenda,LOCAÇÃO DE TENDAS  6MX6M,"LOCAÇÃO DE TENDA, CONSTRUÍDA EM LONA PVC ANTI CHAMAS COM PROTEÇÃO UV, COM CALHAS E POSSIBILIDADE DE FECHAMENTO LATERAIS COM MATERIAL SIMILAR AO DA COBERTURA. ESTRUTURA METÁLICA DE 1.1/2 P-18. DIMENSÕES: 6MX6M, COM PÉ DIREITO APROXIMADAMENTE DE 3 METROS E ALTURA CENTRAL APROXIMADAMENTE DE 4,5 METROS. POSSIBILIDADE DE JUNÇÃO DE 2 TENDAS OU MAIS. A MONTAGEM DEVERÁ SER FINALIZADA EM ATÉ 03 (TRÊS) HORAS ANTES DO INÍCIO DO EVENTO, UNIDADE DIÁRIA.  MONTAGEM E DESMONTAGEM POR CONTA DA CONTRATADA.",UNIDADE/DIÁRIA,"3922 - EXPOSICOES, CONGRESSOS E CONFERENCIAS","R$ 600,00",0,"R$ 0,00"
33,3963000000013,18422,Agenda,BLOCO DE ANOTAÇÕES COM 50 FOLHAS - MÉDIO,"CONFECÇÃO DE BLOCO DE ANOTAÇÕES PERSONALIZADO COM 50 FOLHAS CADA, NAS DIMENSÕES: 14,8X21CM, FOLHAS INTERNAS: EM PAPEL OFF-SET DE 90G, COLORIDO. CAPA: COLOR, PAPEL COUCHÊ BRILHO, 115G, PERSONALIZADA COM A LOGOMARCA DO EVENTO.  ACABAMENTO POR BLOCAGEM. ARTE E LAYOUT A DEFINIR PELO CONTRATANTE.PEDIDO MINIMO 20 UNIDADES.",UNIDADE/SERVIÇO,3963 - SERVICOS GRÁFICOS E EDITORIAIS,"R$ 4,00",0,"R$ 0,00"
384,3917000000055,16314,Específico,MANUTENÇÃO CORRETIVA E PREVENTIVA DO MÓDULO DIDÁTICO MULTIPROPÓSITO (UPCONTROL),MANUTENÇÃO CORRETIVA E PREVENTIVA DO MÓDULO DIDÁTICO MULTIPROPÓSITO (UPCONTROL) COM OS SEGUINTES SERVIÇOS: TREINAMENTO SOBRE A UTILIZAÇÃO DO EQUIPAMENTO; EVENTUAL TROCA E OU REPARO DOS SENSORES DE TEMPERATURA E DE VAZÃO; MANUTENÇÃO PREVENTIVA DOS DEMAIS ITENS QUE COMPÕEM O EQUIPAMENTO. O SERVIÇO COMPÕE-SE DE EMISSÃO DE LAUDO TÉCNICO COM OU SEM REPOSIÇÃO DE PEÇAS CONFORME NECESSIDADE E ANEXO.,SERVIÇO,3917 - MANUTENCAO E CONSERVACAO DE MAQUINAS E EQUIPAMENTOS,"R$ 5.000,00",0,"R$ 0,00"
34,3963000000024,18422,Agenda,CONFECÇÃO DE BANNER EM LONA 60CMX90CM,"CONFECÇÃO DE BANNER. MATERIAL: LONA 440 GRS BRILHO IMPRESSÃO 1440 DPI, DIGITAL COLORIDA COM QUALIDADE FOTOGRÁFICA EM APENAS UM LADO (4X0 CORES). CORDÃO DE NYLON E BASTÃO DE MADEIRA NA PARTE SUPERIOR E NA PARTE INFERIOR COM TAMPA DE PROTEÇÃO PLÁSTICA NAS BORDAS. O CONTEÚDO DO TEXTO A SER DEFINIDO PELO REQUISITANTE. PEDIDO MINIMO 01 UNIDADE. A ARTE E DIAGRAMAÇÃO DEVEM ESTAR INCLUIDO NO SERVIÇO.",UNIDADE,3963 - SERVICOS GRÁFICOS E EDITORIAIS,"R$ 75,00",0,"R$ 0,00"
35,3963000000144,18422,Agenda,CONFECÇÃO DE BANNER EM LONA 90CMX110CM,"CONFECÇÃO DE BANNER. MATERIAL: LONA 440 GRS BRILHO IMPRESSÃO 1440 DPI, DIGITAL COLORIDA COM QUALIDADE FOTOGRÁFICA EM APENAS UM LADO (4X0 CORES). CORDÃO DE NYLON E BASTÃO DE MADEIRA NA PARTE SUPERIOR E NA PARTE INFERIOR COM TAMPA DE PROTEÇÃO PLÁSTICA NAS BORDAS. O CONTEÚDO DO TEXTO A SER DEFINIDO PELO REQUISITANTE. PEDIDO MINIMO 01 UNIDADE. A ARTE E DIAGRAMAÇÃO DEVEM ESTAR INCLUIDO NO SERVIÇO.",UNIDADE,3963 - SERVICOS GRÁFICOS E EDITORIAIS,"R$ 90,00",0,"R$ 0,00"
36,3963000000145,18422,Agenda,CONFECÇÃO DE BANNER EM LONA 110CMX180CM,"CONFECÇÃO DE BANNER. MATERIAL: LONA 440 GRS BRILHO IMPRESSÃO 1440 DPI, DIGITAL COLORIDA COM QUALIDADE FOTOGRÁFICA EM APENAS UM LADO (4X0 CORES). CORDÃO DE NYLON E BASTÃO DE MADEIRA NA PARTE SUPERIOR E NA PARTE INFERIOR COM TAMPA DE PROTEÇÃO PLÁSTICA NAS BORDAS. O CONTEÚDO DO TEXTO A SER DEFINIDO PELO REQUISITANTE. PEDIDO MINIMO 01 UNIDADE. A ARTE E DIAGRAMAÇÃO DEVEM ESTAR INCLUIDO NO SERVIÇO.",UNIDADE,3963 - SERVICOS GRÁFICOS E EDITORIAIS,"R$ 110,00",0,"R$ 0,00"
386,5208000000671,462134,Específico,BÚSSOLA BRUNTON,"DESCRIÇÃO NO SIASGNET:BÚSSOLA NAVEGAÇÃO, MATERIAL: ALUMÍNIO, MODELO: BRUNTON, TIPO: PRECISÃO. DESCRIÇÃO DO MODELO: BÚSSOLA GEOLÓGICA POCKET TRANSIT 5008 TIPO BRUNTON.",UNIDADE,"5208 - APARELHOS, EQUIP. E UTENS. MED., ODONT., LABOR. E HOSP.","R$ 500,00",0,"R$ 0,00"
37,3963000000050,18422,Agenda,CONFECÇÃO DE CANETA PERSONALIZADA ECOLÓGICA,"CONFECÇÃO DE CANETA ESFEROGRÁFICA PERSONALIZADA, TIPO ECOLÓGICA, COM ACIONADOR PLÁSTICO RETRÁTIL, PONTEIRA EM PLÁSTICO, CORPO 100% EM MATERIAL RECICLADO, CARGA NA COR AZUL DE LONGA DURAÇÃO, ESCRITA GROSSA, COM RESPIRADOR E CLIP PARA FIXAÇÃO NO BOLSO, DIMENSÕES: ENTRE 14CM E 14,6CM DE COMPRIMENTO E DIÂMETRO ENTRE 01CM E 1,3CM. IMPRESSÃO: SERIGRAFIA (SILKSCREEN), CORPO ATÉ 4 CORES. LOTE COM 100 UNIDADES. ARTE A SER ENVIADA PELA CONTRATANTE.",LOTE,3963 - SERVICOS GRÁFICOS E EDITORIAIS,"R$ 145,00",0,"R$ 0,00"
38,3963000000054,15423,Agenda,CONFECÇÃO DE CARTÃO DE VISITA EM COUCHÊ,"CARTÕES DE VISITAS, 4X4 CORES, PAPEL COUCHÊ BRILHANTE OU FOSCO, TAMANHO 9X5. ARTE A SER ENVIADA PELO CONTRATANTE.  IMPRESSÃO FRENTE E VERSO. A LOGO DA INSTITUIÇÃO DEVERÁ TER VERNIZ LOCALIZADO E RELEVO. LOTE COM 100 UNIDADES.",LOTE/SERVIÇO,3963 - SERVICOS GRÁFICOS E EDITORIAIS,"R$ 80,00",0,"R$ 0,00"
388,3917000000053,16314,Específico,MANUTENÇÃO EM BANCADA DE TROCADOR DE CALOR ECOEDUCACIONAL,MANUTENÇÃO CORRETIVA E PREVENTIVA DA BANCADA DE TROCADOR DE CALOR CASCO E TUBOS (MODELO: AE-IHM-CFAQ/ECOEDUCACIONAL) COM OS SEGUINTES SERVIÇOS: TREINAMENTO SOBRE A UTILIZAÇÃO DO EQUIPAMENTO; TROCA E OU REPARO DOS SENSORES DE TEMPERATURA DO TROCADOR DE CALOR CASCO E TUBOS;  REPARO DA BOMBA DE VÁCUO; MANUTENÇÃO PREVENTIVA DOS DEMAIS ITENS QUE COMPÕEM O EQUIPAMENTO. O SERVIÇO COMPÕE-SE DE EMISSÃO DE LAUDO TÉCNICO COM OU SEM REPOSIÇÃO DE PEÇAS CONFORME NECESSIDADE E ANEXO.,SERVIÇO,3917 - MANUTENCAO E CONSERVACAO DE MAQUINAS E EQUIPAMENTOS,"R$ 5.000,00",0,"R$ 0,00"
39,3963000000094,4367,Agenda,CONFECÇÃO DE CARTAZ EM COUCHÊ (BRILHO/FOSCO) -  TAM. A1 COLORIDO,MATERIAL: PAPEL COUCHÊ FOSCO /BRILHO 150G. IMPRESSÃO: CORES: 4X0. DIMENSÃO: A1. LOTE COM 50 EXEMPLARES POR MODELO. A ARTE POR CONTA DO CONTRATADO.,LOTE,3963 - SERVICOS GRÁFICOS E EDITORIAIS,"R$ 90,00",0,"R$ 0,00"
40,3963000000014,17906,Agenda,CONFECÇÃO DE FAIXA,"FAIXA EM LONA VINÍLICA FRONT LIGHT BRILHO; IMPRESSÃO:  DIGITAL COLORIDA  4x0                                                                                                           ACABAMENTO: 4 PONTOS DE ILHÓS, 1 EM CADA EXTREMIDADE, BASTÃO DE MADEIRA NOS DOIS LADOS PARA AUXILIAR NA FIXAÇÃO, ACOMPANHANDO 2 METROS DE CORDÃO DE NYLON CORDÕES DE NYLON EM METRAGEM COMPATÍVEL E NECESSÁRIOS A CORRETA FIXAÇÃO. ARTE A SER ENVIADA PELO REQUISITANTE.PEDIDO MINIMO 01 m².",M²,3963 - SERVICOS GRÁFICOS E EDITORIAIS,"R$ 55,00",0,"R$ 0,00"
41,3963000000032,18422,Agenda,"CONFECÇÃO DE FOLDER EM COUCHÊ (BRILHO/FOSCO) - A4, COLORIDO (03 DOBRAS)","CONFECÇÃO DE FOLDER, TAMANHO A4, MATERIAL: EM PAPEL COUCHÊ BRILHO OU FOSCO 150 G/M². ACABAMENTO : COM 03 (TRÊS) DOBRAS PARALELAS.  IMPRESSÃO: COLORIDO (4X4 CORES), IMPRESSÃO FRENTE E VERSO. A ARTE E DIAGRAMAÇÃO DEVEM ESTAR INCLUIDO NO SERVIÇO. LOTE COM 100 EXEMPLARES.",LOTE/SERVIÇO,3963 - SERVICOS GRÁFICOS E EDITORIAIS,"R$ 35,00",0,"R$ 0,00"
42,3963000000038,18422,Agenda,CONFECÇÃO DE FOLDER EM SULFITE - COLORIDO (03 DOBRAS),"CONFECÇÃO DE FOLDER, TAMANHO A4, COM 03 DOBRAS, COLORIDO (4X4 CORES), PAPEL SULFITE 75 G, A ARTE E DIAGRAMAÇÃO DEVEM ESTAR INCLUIDO NO SERVIÇO, LOTE COM 100 EXEMPLARES POR MODELO, ENTREGA CONFORME A DEMANDA.",LOTE/SERVIÇO,3963 - SERVICOS GRÁFICOS E EDITORIAIS,"R$ 80,00",0,"R$ 0,00"
43,3963000000010,18422,Agenda,CONFECÇÃO DE PASTA PERSONALIZADA COM BOLSO PARA EVENTO EM TRIPLEX,"PASTA COM BOLSO INTERNO, FORMATO FECHADO: 22 X 31 CM,  EM PAPEL TRÍPLEX 300G, -CORES: 4 X 0, ACABAMENTO: COM CORTE RETO, VINCO, DOBRA, LAMINAÇÃO BOPP BRILHO LOCALIZADO. LOTE COM 100 UNIDADES. ARTE A SER ENCAMINHADA PELO CONTRATANTE.",LOTE/SERVIÇO,3963 - SERVICOS GRÁFICOS E EDITORIAIS,"R$ 2,00",0,"R$ 0,00"
